,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS
1954-09-09,3.47,1.71,2.89,0,12.3693992001,185.384131774173,0.0,0.00260950753857436,0.0,0,0,0.43437932415330605,0,30.73,30.73,30.73,30.73,11.68441065,2.63,0.58,0,0,0.0,21.556017788257698,0.046954012999999996,1.25
1954-09-10,3.47,1.71,2.89,0,12.4130940898894,185.384131774173,0.0,0.00260950753857436,0.0,0,0,0.436014424896248,0,30.84,30.84,30.84,30.84,11.72623574,2.63,0.58,0,0,0.0,21.6329688064974,0.046786537,1.25
1954-09-13,3.47,1.71,2.89,0,12.5298680398965,185.384131774173,0.0,0.00223713739835629,0.0,0,0,0.44005327917834103,0,31.12,31.12,31.12,31.12,11.83269962,2.63,0.58,0,0,-0.000297896112174456,21.837288681146497,0.046365579000000004,1.38
1954-09-14,3.47,1.71,2.89,0,12.5936953509706,185.384131774173,0.0,0.00223713739835629,0.0,0,0,0.442396006021622,0,31.28,31.28,31.28,31.28,11.89353612,2.63,0.58,0,0,-0.000223422084130842,21.949343191227303,0.046128415,1.25
1954-09-15,3.47,1.71,2.89,0,12.5971282052806,185.384131774173,0.0,0.0,0.0,0,0,0.442617693006145,0,31.29,31.29,31.29,31.29,11.8973384,2.63,0.58,0,0,-0.0019386579747722602,21.956140886729802,0.046113673,1.0
1954-09-16,3.47,1.71,2.89,0,12.664973025472,185.384131774173,0.0,0.0,0.0,0,0,0.44510272656609995,0,31.46,31.46,31.46,31.46,11.96197719,2.63,0.58,0,0,-0.00141675646705739,22.0752092347607,0.045864489,1.0
1954-09-17,3.47,1.71,2.89,0,12.7650163337771,185.384131774173,0.0,0.0,0.0,0,0,0.448720065509485,0,31.71,31.71,31.71,31.71,12.05703422,2.63,0.58,0,0,-0.000894854959342517,22.250410129605303,0.045502895,0.5
1954-09-20,3.47,1.71,2.89,0,12.7080616777124,185.384131774173,0.0,0.0,0.0,0,0,0.44681926070421996,0,31.57,31.57,31.57,31.57,12.00380228,2.63,0.58,0,0,-0.000447427479671259,22.151953546591898,0.045704682,0.5
1954-09-21,3.47,1.71,2.89,0,12.796019008004599,185.384131774173,0.0,0.0,0.0,0,0,0.450013297902629,1,31.79,31.79,31.79,31.79,12.08745247,2.63,0.58,0,1,0.0,22.306100427766598,0.045388387,0.5
1954-09-22,3.47,1.71,2.89,0,12.8799435837441,185.384131774173,0.0,0.0,0.0,0,0,0.45306634705249704,2,32.0,32.0,32.0,32.0,12.16730038,2.63,0.58,0,0,0.0,22.453227784021202,0.045090526,0.38
1954-09-23,3.47,1.71,2.89,0,12.9517863937352,185.384131774173,0.0,0.0,0.0,0,0,0.455695188562551,3,32.18,32.18,32.18,32.18,12.23574144,2.63,0.58,0,0,0.0,22.5793027007407,0.04483831,0.75
1954-09-24,3.47,1.78,2.89,0,13.039721381385698,185.384131774173,0.0,0.0,0.0,0,0,0.458890927035179,4,32.4,32.4,32.4,32.4,12.31939163,2.63,0.58,0,0,0.0,22.733441268173102,0.044533852,1.13
1954-09-27,3.47,1.78,2.89,0,13.091428873766999,185.384131774173,0.0,0.0,0.0,0,0,0.46081252622252206,5,32.53,32.53,32.53,32.53,12.36882129,2.63,0.58,1,0,0.0,22.824429133863898,0.04435588099999999,1.25
1954-09-28,3.47,1.78,2.89,0,13.155204708050098,185.384131774173,0.0,0.0,0.0,0,0,0.463159434884916,4,32.69,32.69,32.69,32.69,12.42965779,2.63,0.58,1,0,0.0,22.93646444009,0.044138783,1.25
1954-09-29,3.47,1.78,2.89,0,13.078133636509499,185.384131774173,0.0,0.0,0.0,0,0,0.46054787000687397,3,32.5,32.5,32.5,32.5,12.35741445,2.63,0.58,1,0,0.0,22.802927716132196,0.044396825,1.44
